amount,author,author_id,badges,body_color,header_color,message,ticker_duration,time_in_seconds,time_text,timestamp,video_offset_time_msec
,K58,UCcWmL2p03I6461OkqgZIKwA,,,,It's time!,,152,2:32,1597517074202401,152874
,Sully Matthews,UCfcGRHHdGjFnGF5e_aYV8pw,,,,LATE,,153,2:33,1597517074358292,153030
,ElephantGirl_,UCqpIUt1toP_9UgapteKxN9g,,,,👑❤️Techno Dream Support 💚⚪,,153,2:33,1597517074640637,153313
,Nebula,UCwl2Etbp9RqWWeXKTL2LCtQ,,,,LOL,,153,2:33,1597517074743703,153416
,Siripatsorn Jinrakthamma,UCmWz1yvjANrSQmf7F9ehW5w,,,,LATE,,153,2:33,1597517074748089,153420
$1.99,Taco Bell,UCe9FDy42Q3xe85lviFQrE0w,,"{'rgba': [0, 229, 255, 255], 'hex': '#00e5ffff'}","{'rgba': [0, 184, 212, 255], 'hex': '#00b8d4ff'}",,,153,2:33,1597517074861802,153534
,Sergeant tanker r,UCsv0PXieFidgJ4JsTJrTdIA,,,,​LATE,,153,2:33,1597517074969579,153642
,Justin Yizhi Zheng,UCA7DcTGZUOQp4vzSxKY4fIQ,,,,Late,,153,2:33,1597517075015216,153687
,DERPY POOP,UCTEzaLnKNWr6NkZ-yyqqzCg,,,,Technolate,,153,2:33,1597517075030603,153703
,Jake Gao,UCoc_K0ro9BBAs47XxzJHLmA,,,,Late,,154,2:34,1597517075366344,154038
,Turtle,UC4pUmAVT9b-lNJyOOo6-N4g,,,,❤ TECHNOSUPPORT ❤,,154,2:34,1597517075550264,154222
,olliivveerr,UCPzwdppgA7WZn8rYHVIupdg,,,,late? oh right were spamming late now- LATE LATE LATE,,154,2:34,1597517075593567,154275
,Bruh,UCd1IG-olf3b5dfOUL4pqSgw,,,,late,,154,2:34,1597517075882975,154565
,CptShrimp,UCcAG7Z8wfqHBu-DtBCaMXEQ,,,,Late,,154,2:34,1597517076197381,154879
,Samir Mishra,UCrUD2kJ3_rKV1mS2qk-ec5A,,,,LATE,,154,2:34,1597517076307009,154989
,Petal,UCv0w3GemWpCMWsF1cQeqS2g,,,,Late,,155,2:35,1597517076351565,155033
,Hiro Code:016,UCnLgchoAz1zS41eAY9MHmrg,,,,late,,155,2:35,1597517076379952,155062
,Pilotpandashot !!!,UCkIHnCkNiRCBab2QlFrNORw,,,,Late,,155,2:35,1597517076532276,155214
,Jack Martorana,UCmT4qG5orR-LFfydUDjVqAw,,,,late late late late\,,155,2:35,1597517076676812,155359
,Sailaja Kata,UC5wDlj_cwre1VYcmI7knqMA,,,,Late,,155,2:35,1597517077099685,155781
,Trevor Giltner,UCcva_bdXiW5Izj5MQc-HpgQ,,,,❤technosupport❤,,155,2:35,1597517077211357,155893
,Netherite Vex,UCeHNA39hNuPU_m1rgcWsj2A,,,,Late,,155,2:35,1597517077227678,155909
,Octo Gaming,UCAKf5sChvLrKb3bZDRvCu6g,,,,LATE,,156,2:36,1597517077501583,156183
,Techno Bruh,UCe2WSqW47d4GmaSct_GJNlw,,,,Late,,156,2:36,1597517077780193,156440
,Goopy,UCW1g9mr0Uamt2v_JjKhEO0g,,,,this twomad?,,156,2:36,1597517077799237,156459
$5.00,Mr_Brinclhoff,UCRDG8LZgVjE9ylVYBcDSnqA,,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",Good luck to you and your team TECHNO SUPPORT,,156,2:36,1597517078313041,156540
$5.00,Mr_Brinclhoff,UCRDG8LZgVjE9ylVYBcDSnqA,,"{'rgba': [29, 233, 182, 255], 'hex': '#1de9b6ff'}","{'rgba': [0, 191, 165, 255], 'hex': '#00bfa5ff'}",Good luck to you and your team TECHNO SUPPORT,120,156,2:36,1597517078313041,156540
,AFK,UCxAnHSh2vC9bX1YYTTN9JoA,,,,late,,156,2:36,1597517078110161,156770
,ariessing,UCEfcn5tFkQnzkBoM60bLgcg,New member,,,Welcome to Pig Tier!,,156,2:36,1597517078141910,156802
,ariessing,UCEfcn5tFkQnzkBoM60bLgcg,New member,4279213400,,Welcome to Pig Tier!,300,156,2:36,1597517078141910,156802
,RubberToaster,UCAzehKyRM6IsAt1JXJaUqEA,,,,technolate,,157,2:37,1597517078540288,157200
,dogpopo 911,UC_m9c39ctUj5dOCa-a9fGDg,,,,late,,157,2:37,1597517078762646,157423
,Karimu izerimana,UCnUvceNlV-aDPDKeUw6yRXQ,,,,late Mr tech,,157,2:37,1597517078833222,157493
,vinifumasa _,UChN6fCAj32iJXl2SjY9E5BQ,,,,IMAGINA BE LATE LMAO,,157,2:37,1597517078972323,157632
,Link0Pasta,UC3cFHDbodCF86PGtrFpC8TA,,,,early,,157,2:37,1597517079122280,157782
,AmericanPeanutButter AKA Guy,UCFrtLBxdybq0I3YMUn5bAAA,,,,Late,,157,2:37,1597517079233274,157893
,sana mittal,UCqmEejci_dVz_srfySOgSJg,,,,LMAO,,157,2:37,1597517079275497,157936
,FBI,UCAsJKfGuFBSgUWJd-0gr8NA,,,,epic,,157,2:37,1597517079308806,157969
,Neo Kovacevic,UCfu5Px4XrjyAdZddBFQFYgw,,,,late,,157,2:37,1597517079326771,157987
,Chips ahoy,UCzXFf0QxUHTSG_umsQ374zg,,,,late,,158,2:38,1597517079347608,158008
,Dave Yparraguirre,UCFOBnR__cZP4cYzlHoo5KgA,,,,EARLY,,158,2:38,1597517079396220,158056
,okSaur,UCzt8nA0_gBailf6Rw1y_I9g,,,,TECHNOSUPPORT 💓,,158,2:38,1597517079407178,158067
,quantueur,UCh5Fb6969a657TC8ZqZ6RsA,,,,early,,158,2:38,1597517079417590,158078
,XXKALOD KDG,UCPCkaBgNCtZm89deWgjo8kg,,,,late,,158,2:38,1597517079449980,158110
,jugaad,UCMe9IRNUiMTXHXJrBuOIChw,,,,why is he in the top left cornerrrrrrrrrrrrrrrrrrrrrrr,,158,2:38,1597517079819605,158482
,rick,UCkILkITPN4BlkvEbo18n_aw,,,,LATE,,158,2:38,1597517080060919,158724
,—,UCYBQrW1Z3xewnVRkpy0bp4A,,,,late,,158,2:38,1597517080255780,158919
